target_bin,source_type,source,n,mean_prediction,empirical_pass_rate,brier,brier_ci_low,brier_ci_high,crps_beta,crps_beta_ci_low,crps_beta_ci_high,bias
0,run,gemini25flash,60,0.92395,0.9333333333333333,0.09994674999999999,0.03479784625,0.17480215791666667,0.12256622280630286,0.06072841338691835,0.19203498575937347,-0.009383333333333348
1,run,gemini25flash,60,0.46991666666666665,0.9666666666666667,0.37883625,0.29255053125,0.4644043541666667,0.44837220827417934,0.35879796337550324,0.5335865092144306,-0.49674999999999997
2,run,gemini25flash,53,0.335754716981132,0.39622641509433965,0.1334816037735849,0.08379408018867925,0.19566094339622642,0.21630244823230643,0.1624477762387361,0.28248168124945455,-0.06047169811320756
3,run,gemini25flash,13,0.042692307692307696,0.15384615384615385,0.1268019230769231,0.0006109615384615387,0.3134573076923077,0.1494150639932312,0.014215865258443676,0.3415399897275979,-0.11115384615384616
0,run,gpt55,60,0.9419166666666668,0.9333333333333333,0.05759958333333334,0.01677475,0.11025145833333332,0.09104428383395143,0.0489407540696879,0.1432024350845151,0.00858333333333332
1,run,gpt55,60,0.832,0.9666666666666667,0.05987666666666667,0.033766124999999994,0.09316183333333329,0.13830348067813067,0.10689781474711674,0.17207031933518668,-0.13466666666666666
2,run,gpt55,53,0.5784905660377359,0.39622641509433965,0.1976641509433962,0.15241169811320757,0.24502721698113206,0.30832242366166945,0.26281929845994906,0.3611985007431275,0.18226415094339624
3,run,gpt55,13,0.07900000000000001,0.15384615384615385,0.11010530769230768,0.00486095,0.26495742884615386,0.1475248226745926,0.036136559326593085,0.29982588713482733,-0.07484615384615384
0,run,haiku45,60,0.8106666666666666,0.9333333333333333,0.08514666666666666,0.04952029166666667,0.12928866666666666,0.1676881335723942,0.13062241982353984,0.20807769459908307,-0.12266666666666666
1,run,haiku45,60,0.5128333333333334,0.9666666666666667,0.2897316666666666,0.22374008333333337,0.3540568333333333,0.3779493014633038,0.3195838792971285,0.43340867299926605,-0.45383333333333326
2,run,haiku45,53,0.41613207547169806,0.39622641509433965,0.17681179245283019,0.13413016509433962,0.22464853773584906,0.28221204677183975,0.23671379899608536,0.3278607867755886,0.019905660377358487
3,run,haiku45,13,0.07807692307692309,0.15384615384615385,0.11616346153846152,0.003597932692307693,0.2911049038461538,0.1523470661710407,0.03930477848339558,0.31434607608723986,-0.07576923076923078
0,run,opus47,60,0.9159166666666667,0.9333333333333333,0.05840875000000001,0.02059703125,0.10818764583333332,0.09851849884538028,0.056992651001202425,0.1483540068898186,-0.01741666666666668
1,run,opus47,60,0.7353333333333333,0.9666666666666667,0.14531333333333332,0.08381379166666668,0.21477425,0.21576512391372932,0.16109981185063027,0.2775925155031918,-0.23133333333333328
2,run,opus47,53,0.480188679245283,0.39622641509433965,0.1700735849056604,0.11819971698113209,0.2280540566037736,0.26629557211845095,0.21479105256505232,0.3200931639485972,0.0839622641509434
3,run,opus47,13,0.06923076923076923,0.15384615384615385,0.11753846153846152,0.003506730769230769,0.2879986538461538,0.15357054578950763,0.03479226401445472,0.31950836690723744,-0.0846153846153846
0,run,sonnet46,60,0.9363333333333334,0.9333333333333333,0.056763333333333346,0.014146833333333334,0.11271799999999997,0.09107073746611129,0.05004561261732003,0.1454553107102807,0.002999999999999984
1,run,sonnet46,60,0.7300000000000001,0.9666666666666667,0.1423,0.08455766666666668,0.20733154166666662,0.21528201993044402,0.1589881305802235,0.2745884438471525,-0.23666666666666666
2,run,sonnet46,53,0.479433962264151,0.39622641509433965,0.1827490566037736,0.13581457547169815,0.2375132075471698,0.28076379881003516,0.23147166939011463,0.33120636819435484,0.08320754716981132
3,run,sonnet46,13,0.07,0.15384615384615385,0.11589999999999998,0.002868846153846153,0.283619423076923,0.15475736362498774,0.03718228471898896,0.32322314660331997,-0.08384615384615383
