target_bin,source_type,source,n,mean_prediction,empirical_pass_rate,brier,brier_ci_low,brier_ci_high,crps_beta,crps_beta_ci_low,crps_beta_ci_high,bias
0,run,sonnet46,60,0.9363333333333334,0.9333333333333333,0.056763333333333346,0.014146833333333334,0.11271799999999997,0.09107073746611129,0.05004561261732003,0.1454553107102807,0.002999999999999984
0,run,gpt55,60,0.9419166666666668,0.9333333333333333,0.05759958333333334,0.01677475,0.11025145833333332,0.09104428383395143,0.0489407540696879,0.1432024350845151,0.00858333333333332
0,run,opus47,60,0.9159166666666667,0.9333333333333333,0.05840875000000001,0.02059703125,0.10818764583333332,0.09851849884538028,0.056992651001202425,0.1483540068898186,-0.01741666666666668
0,baseline,model_bin_pass_rate,60,0.9305555555555555,0.9333333333333333,0.06200845907636031,0.017310813900320077,0.11955075445816184,0.10831832136410452,0.05957565828652949,0.16741471838714467,-0.002777777777777779
0,baseline,irt_logistic_fit,60,0.9531126787835691,0.9333333333333333,0.06348873160961457,0.015956314182908337,0.12161614113695354,0.09433113208809389,0.04395803222727892,0.1535805888352105,0.019779345450235943
0,run,haiku45,60,0.8106666666666666,0.9333333333333333,0.08514666666666666,0.04952029166666667,0.12928866666666666,0.1676881335723942,0.13062241982353984,0.20807769459908307,-0.12266666666666666
0,run,gemini25flash,60,0.92395,0.9333333333333333,0.09994674999999999,0.03479784625,0.17480215791666667,0.12256622280630286,0.06072841338691835,0.19203498575937347,-0.009383333333333348
0,baseline,model_pass_rate,60,0.566856983028275,0.9333333333333333,0.21346682433097083,0.179886082740897,0.2510936381185963,0.42101923987929873,0.3849346183665583,0.46025849718205125,-0.3664763503050582
0,baseline,uninformed_0_5,60,0.5,0.9333333333333333,0.25,0.25,0.25,0.3333295117790044,0.3333292440625669,0.33332995797306686,-0.43333333333333335
1,baseline,model_bin_pass_rate,60,0.868827160493827,0.9666666666666667,0.04289551897576589,0.02490097736625514,0.06497885230909922,0.12005755848250102,0.08593062809109671,0.15769027496345334,-0.0978395061728395
